_id,Product Name,Product Quantity,UOM,MRP,Price,Product Description,SKU Code,Manufacturer,Country Of Origin,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Images,Net Quantity,Brand,Pack Quantity,Pack Size,Images / Video,UPC/EAN,FSSAI no,Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Ingredients,Other details,Marketed By,Images.3,Images.4,Images.5,Images.6,Baby Weight,Absorption Duration (in Hrs),Composition,Nutritional Facts,Benefits,Storage,Images.7,Images.8,Usage,Features,Images.9,Images.10,Storage And Uses,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code
64046f79a6a5bc77b92e3d4d,"Bisleri Mineral Water, 10 L Can",10 L Can,L,110,110,Bisleri contains ozonated water and minerals such as magnesium and potassium. The elements present in it are crucial for the normal functioning of the human body. It has eco-friendly packaging with recyclable plastic. It is good for you as well as the environment. The 10 litre can is big enough to quench the thirst of smaller groups and family on any occasion.,-,"Bisleri International Pvt. Ltd. # No 29/33, Udayagiri Village Devanahalli Taluk Bangalore 562110 ;CDV :7503",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_40211241_1-bisleri-mineral-water.jpg,10 L Can,Bisleri,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_40211241-2_1-bisleri-mineral-water.jpg,['40211241'],['10012043000052'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ozonated Water With Minerals,"[{'EAN Code': '40211241'}, {'FSSAI No': '10012043000052'}, {'Manufactured & Marketed by': 'Bisleri International Pvt. Ltd. # No 29/33, Udayagiri Village Devanahalli Taluk Bangalore 562110 ;CDV :7503'}, {'Country of origin': 'India'}]","Bisleri International Pvt. Ltd. # No 29/33, Udayagiri Village Devanahalli Taluk Bangalore 562110 ;CDV :7503",https://datalabs.siva3.io/image/Eunimart_groceries_40211241-3_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40211241-4_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40211241-5_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_40211241-6_1-bisleri-mineral-water.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
64046f8fa6a5bc77b92e3d4f,"Bisleri Mineral-Water, 250 ml Pack of 24",250 ml Pack of 24,ml,144,144,"Bisleri Mineral Water is definitely one of the healthiest kinds of bottled water and drinking it can enhance your well-being. This water is rich in minerals such as magnesium, calcium and iron. It is free of preservatives or any type of added chemicals. Those who are planning to lose weight should switch to mineral water.",-,"BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_412087_1-bisleri-mineral-water.jpg,250 ml Pack of 24,Bisleri,24,1,https://datalabs.siva3.io/image/Eunimart_groceries_412087-2_1-bisleri-mineral-water.jpg,['8906017290023'],['10013022001539'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906017290023'}, {'Country of origin': 'India'}, {'Manufacturer Name & Address': 'BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110'}]",-,https://datalabs.siva3.io/image/Eunimart_groceries_412087-3_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_412087-4_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_412087-5_1-bisleri-mineral-water.jpg,-,-,-,"Ozonated water, Minerals (Magnesium Sulphate, Potassium Bicarbonate)","Typical value per 100 ml of product.
Potassium (mg) - 0.1
Magnesium (mg) - 0.2","It is said that after menopause women suffer from bone loss, but this can be reduced if mineral water is taken regularly; the calcium present in the water helps to maintain normal bone density. One of the active Composition magnesium is known to lower blood pressure level; people suffering from hypertension will notice a decrease in blood pressure over a period of time. Mineral water is known to be quite effective for a healthy beauty regime. You can use it for cleansing, moisturizing or toning the skin of the face to add a healthy glow. If you are using a face pack, a few drops of mineral water in it can have some amazing benefits.",-,-,-,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
64046fa9a6a5bc77b92e3d51,"Aquafina Packaged Drinking Water, 2 L",2 L,L,35,35,"Aquafine Bottled Water is filtered to provide you with incredible quality of 100% pure drinking water. It is your perfect companion for happy bodies everywhere. Aquafina goes through a five-step state-of-the-art purification process to give consumers pure water and perfect taste. It has become one of Indias leading brands of bottled water in a relatively short span of time. Every bottle of Aquafina Packaged Drinking Water consists of drinking water that has been sourced from the most unadulterated sources like mountains and hills, where there are numerous fresh-water springs with water this is rich with the rock-infused minerals and nutrients. The water is safe for drinking and cooking purposes.",-,"Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_4006_5-aquafina-packaged-drinking-water.jpg,2 L,Aquafina,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_4006-2_2-aquafina-packaged-drinking-water.jpg,['100184046'],['10012022000235'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '100184046'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India'}, {'Marketed By': 'PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.'}]","PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.",https://datalabs.siva3.io/image/Eunimart_groceries_4006-3_2-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_4006-4_2-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_4006-5_2-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_4006-6_1-aquafina-packaged-drinking-water.jpg,-,-,"Treated Water, salts of calcium & magnesium.","Typical value per 100 ml of product.
Energy (kcal) - 0
Protein (g) - 0
Carbohydrates (g) - 0
Sugar (g) - 0
Added Sugar (g) - 0
Sodium (mg) - 1
Calcium (mg) - 2
Magnesium (mg) - 1",-,Store in a cool & dry place away from direct sunlight.,https://datalabs.siva3.io/image/Eunimart_groceries_4006-7_1-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_4006-8_1-aquafina-packaged-drinking-water.jpg,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
64046fb9a6a5bc77b92e3d52,"Aquafina Packaged Drinking Water, 500 ml",500 ml,ml,10,10,"Aquafine Bottled Water is filtered to provide you with incredible quality of 100% pure drinking water. It is your perfect companion for happy bodies everywhere. Aquafina goes through a five-step state-of-the-art purification process to give consumers pure water and perfect taste. It has become one of Indias leading brands of bottled water in a relatively short span of time. Every bottle of Aquafina Packaged Drinking Water consists of drinking water that has been sourced from the most unadulterated sources like mountains and hills, where there are numerous fresh-water springs with water this is rich with the rock-infused minerals and nutrients. The water is safe for drinking and cooking purposes.",-,"Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_21123_6-aquafina-packaged-drinking-water.jpg,500 ml,Aquafina,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_21123-2_3-aquafina-packaged-drinking-water.jpg,['88902080504046'],['10012022000235'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '88902080504046'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India'}, {'Marketed By': 'PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.'}]","PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.",https://datalabs.siva3.io/image/Eunimart_groceries_21123-3_2-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_21123-4_2-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_21123-5_1-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_21123-6_1-aquafina-packaged-drinking-water.jpg,-,-,"Treated Water, salts of calcium & magnesium.","Typical value per 100 ml of product.
Energy (kcal) - 0
Protein (g) - 0
Carbohydrates (g) - 0
Sugar (g) - 0
Added Sugar (g) - 0
Sodium (mg) - 1
Calcium (mg) - 2
Magnesium (mg) - 1",-,-,-,-,"This water is best used when on the go. While you are travelling, you can easily carry this slim bottle to ensure that you do not risk having water from dubious sources. Also, this water can be used for cooking purposes.",-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
64046fc8a6a5bc77b92e3d53,"Aquafina Packaged Drinking Water, 1 L Bottle",1 L Bottle,L,20,20,"Perfect companion for happy bodies everywhere. Aquafina goes through a five step state-of-the-art purification process to give consumers pure water and perfect taste. It has become one of Indias leading brands of bottled water in a relatively short span of time. Quench your thirst with this bottled water. Water like food, sustains life and the promise of bisleri is all you need.",-,"Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_265894_7-aquafina-packaged-drinking-water.jpg,1 L Bottle,Aquafina,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_265894-2_1-aquafina-packaged-drinking-water.jpg,['8902080504060'],['10012022000235'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8902080504060'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India'}, {'Marketed By': 'PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.'}]","PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.",https://datalabs.siva3.io/image/Eunimart_groceries_265894-3_1-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265894-4_1-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265894-5_1-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265894-6_1-aquafina-packaged-drinking-water.jpg,-,-,"Treated Water, salts of calcium & magnesium.","Typical value per 100 ml of product.
Energy (kcal) - 0
Protein (g) - 0
Carbohydrates (g) - 0
Sugar (g) - 0
Added Sugar (g) - 0
Sodium (mg) - 1
Calcium (mg) - 2
Magnesium (mg) - 1",-,-,https://datalabs.siva3.io/image/Eunimart_groceries_265894-7_1-aquafina-packaged-drinking-water.jpg,-,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
64046fd7a6a5bc77b92e3d54,"Kinley Drinking Water With Added Minerals, 1 L PET Bottle",1 L PET Bottle,L,20,20,"When it comes to safety and assurance of quality, Kinley water bottle is the go-to choice. Promising the assurance of clean and safe drinking water, Kinley mineral water has been a trusted choice for Indians since 2000. This Coca-Cola product goes through an intensive 10 Step filtration method before reaching you. The consistency and purity of Kinleys distilled water are maintained using processes including disinfection, micron filtration, reverse osmosis, and mineral dozing beside other rigorous filtration procedures. Also containing added minerals, Kinley can be always trusted on.",-,"HINDUSTAN COCA-COLA BEVERAGES PVT. LTD. , SURVEY NO. 284-P, POST KUDUS, TALUKA WADA, DISTRICT PALGHAR- 421 312, MAHARASHTRA",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_265686_9-kinley-drinking-water-with-added-minerals.jpg,1 L PET Bottle,Kinley,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_265686-2_5-kinley-drinking-water-with-added-minerals.jpg,['8901764082405'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8901764082405'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'HINDUSTAN COCA-COLA BEVERAGES PVT. LTD. , SURVEY NO. 284-P, POST KUDUS, TALUKA WADA, DISTRICT PALGHAR- 421 312, MAHARASHTRA'}]",-,https://datalabs.siva3.io/image/Eunimart_groceries_265686-3_5-kinley-drinking-water-with-added-minerals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265686-4_4-kinley-drinking-water-with-added-minerals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265686-5_3-kinley-drinking-water-with-added-minerals.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265686-6_2-kinley-drinking-water-with-added-minerals.jpg,-,-,-,"Typical value per serving i.e. 1 can
Energy (kcal) - 0
Protein (g) - 0
Carbohydrates (g) - 0
Sugar (g) - 0
Fat (g) - 0
Sodium (mg) - 0.3
Magnesiun (mg) - 0.1",-,Store in a cool & dry place away from direct sunlight.,-,-,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
64046ff0a6a5bc77b92e3d57,"Bisleri Mineral Water, 500 ml Bottle",500 ml Bottle,ml,10,10,"Water is a vital, life-giving substance that nourishes and rejuvenates us with its sparkling goodness. It is important for water to come from a source that can be trusted and is pure so that our health does not suffer. Bisleri is a name that is synonymous with quality and purity. This brand extracts water from the best sources. The water in a Bisleri Mineral Water is typically sourced from the best Himalayan Mountain sources before being purified and packaged for drinking purposes. The water contains traces of calcium, magnesium, pH factor and even TDS and chlorides. It is packaged using the best quality control procedures and follows a thorough inspection process before being sent out into the market.",-,"BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_265876_1-bisleri-mineral-water.jpg,500 ml Bottle,Bisleri,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_265876-2_1-bisleri-mineral-water.jpg,['8906017290033'],['10013022001539'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906017290033'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110'}]",-,https://datalabs.siva3.io/image/Eunimart_groceries_265876-3_1-bisleri-mineral-water.jpg,-,-,-,-,-,"Ozonated water, Minerals (Magnesium Sulphate, Potassium Bicarbonate)","Typical value per 100 ml of product.
Potassium (mg) - 0.1
Magnesium (mg) - 0.2",-,-,-,-,Bisleri Mineral water is the best way to carry drinking water that is safe and healthy. This is especially helpful when you are on the go and not sure about the water being served to you.,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
64047005a6a5bc77b92e3d59,"Bisleri Mineral Water, 1 L Pack of 12",1 L Pack of 12,L,240,240,"Water from the purest sources is something that we all need. This is especially true when we are travelling. Bisleri understands your drinking water needs like none other. It has ensured that it caters to a wide network of places and people who can enjoy its pure and pristine product in various bottle sizes. Bisleri is one of the most popular brands for bottled water. Bisleri follows a six-step stringent purification process which means that the water from Bisleri is pure and absolutely good for your health. Even the bottles where the water is stored are made in Bisleri plants as well to avoid contamination. A bottle of Bisleri water contains calcium, chlorides, magnesium and TDS; all of which are absolutely essential for healthy well-being. Quench your thirst with this bottled water and it will go down real smooth. Water like food, sustains life and the promise of bisleri is all you need.",-,"BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_97351_4-bisleri-mineral-water.jpg,1 L Pack of 12,Bisleri,12,1,https://datalabs.siva3.io/image/Eunimart_groceries_97351-2_1-bisleri-mineral-water.jpg,['8906017290047'],['10013022001539'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906017290047'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110'}]",-,https://datalabs.siva3.io/image/Eunimart_groceries_97351-3_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_97351-4_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_97351-5_1-bisleri-mineral-water.jpg,-,-,-,"Ozonated water, Minerals (Magnesium Sulphate, Potassium Bicarbonate)","Typical value per 100 ml of product.
Potassium (mg) - 0.1
Magnesium (mg) - 0.2",-,-,-,-,"Apart from the health benefits, this product can also quench your thirst when you are on the go and are not sure about the drinking water that can be found locally. It can also be used at home and for cooking.",-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
6404701aa6a5bc77b92e3d5b,"Kinley Mineral Water, 1 L Pack of 15",1 L Pack of 15,L,300,300,Kinley water understands the value and importance of this life giving force. They might claim to be secure but it is what you can trust. It is truly pure and safe. It comes with a guarantee of safety from The Coca-Cola Company. The Coca Cola Company with its global presence brings the promise of Kinley like no other. Every drop of Kinley is a drop of trust. Open a bottle of Kinley to a new world of possibilites.,-,"HINDUSTAN COCA-COLA BEVERAGES PVT. LTD., SURVEY NO. 284-P, POST KUDUS, TALUKA WADA, DISTRICT PALGHAR- 421 312, MAHARASHTRA",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_204569_2-kinley-mineral-water.jpg,1 L Pack of 15,Kinley,15,1,https://datalabs.siva3.io/image/Eunimart_groceries_204569-2_4-kinley-mineral-water.jpg,['22045690'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '22045690'}, {'Country Of Origin': 'India'}, {'Manufactured by': 'HINDUSTAN COCA-COLA BEVERAGES PVT. LTD., SURVEY NO. 284-P, POST KUDUS, TALUKA WADA, DISTRICT PALGHAR- 421 312, MAHARASHTRA'}]",-,https://datalabs.siva3.io/image/Eunimart_groceries_204569-3_4-kinley-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_204569-4_4-kinley-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_204569-5_2-kinley-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_204569-6_2-kinley-mineral-water.jpg,-,-,"Treated Water, Salts of Sodium and Magnesium.","Typical value per serving i.e. 1 can
Energy (kcal) - 0
Protein (g) - 0
Carbohydrates (g) - 0
Sugar (g) - 0
Fat (g) - 0
Sodium (mg) - 0.3
Magnesiun (mg) - 0.1",-,Store in a cool & dry place away from direct sunlight.,https://datalabs.siva3.io/image/Eunimart_groceries_204569-7_2-kinley-mineral-water.jpg,-,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
6404702ba6a5bc77b92e3d5c,"Aquafina Packaged Drinking Water, 500 ml Pack of 24",500 ml Pack of 24,ml,240,240,"Aquafine Bottled Water is filtered to provide you with incredible quality of 100% pure drinking water. It is your perfect companion for happy bodies everywhere. Aquafina goes through a five-step state-of-the-art purification process to give consumers pure water and perfect taste. It has become one of Indias leading brands of bottled water in a relatively short span of time. Every bottle of Aquafina Packaged Drinking Water consists of drinking water that has been sourced from the most unadulterated sources like mountains and hills, where there are numerous fresh-water springs with water this is rich with the rock-infused minerals and nutrients. The water is safe for drinking and cooking purposes.",-,"Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_3235_2-aquafina-packaged-drinking-water.jpg,500 ml Pack of 24,Aquafina,24,1,https://datalabs.siva3.io/image/Eunimart_groceries_3235-2_2-aquafina-packaged-drinking-water.jpg,['890200504046'],['10012022000235'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '890200504046'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India'}, {'Marketed By': 'PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.'}]","PepsiCo India Holdings Pvt Ltd., 3B, DLF Corporate Park, S block, Qutab enclave, DLF Phase III, Gurgaon 122 002 Haryana.",https://datalabs.siva3.io/image/Eunimart_groceries_3235-3_2-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_3235-4_1-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_3235-5_1-aquafina-packaged-drinking-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_3235-6_1-aquafina-packaged-drinking-water.jpg,-,-,"Treated Water, salts of calcium & magnesium.","Typical value per 100 ml of product.
Energy (kcal) - 0
Protein (g) - 0
Carbohydrates (g) - 0
Sugar (g) - 0
Added Sugar (g) - 0
Sodium (mg) - 1
Calcium (mg) - 2
Magnesium (mg) - 1",-,Store in a cool & dry place away from direct sunlight.,-,-,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
6404703ca6a5bc77b92e3d5d,"Bisleri Mineral Water, 1 L Bottle",1 L Bottle,L,20,20,"Bisleri Mineral Water has minerals and other dissolved substance is called mineral water. Minerals add therapeutic value to the water; the minerals generally added are magnesium sulphate, calcium, potassium bicarbonate and iron.",-,"BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_265875_6-bisleri-mineral-water.jpg,1 L Bottle,Bisleri,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_265875-2_1-bisleri-mineral-water.jpg,['8906017290040'],['10013022001539'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '8906017290040'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'BISLERI INTERNATIONAL PVT LTD, 29/33, UDAYAGIRI VILLAGE, DEVANAHALLI, BANGALORE-562110'}]",-,https://datalabs.siva3.io/image/Eunimart_groceries_265875-3_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265875-4_1-bisleri-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_265875-5_1-bisleri-mineral-water.jpg,-,-,-,"Ozonated water, Minerals (Magnesium Sulphate, Potassium Bicarbonate)","Typical value per 100 ml of product.
Potassium (mg) - 0.1
Magnesium (mg) - 0.2",-,Store in a cool & dry place away from direct sunlight.,-,-,-,-,-,-,-,RET,RET-10,RET-10-13,RET-10-13-10,RET-10-13-10-11
6404704ba6a5bc77b92e3d5e,"Himalayan Natural Mineral Water, 200 ml Bottle",200 ml Bottle,ml,17,13.26,"Pure, unprocessed, and untouched, Himalayan Natural Mineral Water originates in the upper reaches of the Himalayan mountains just for you. Every drop of this pure and natural drinking water travels through layers of rock, sand, and silt for around 20 years and is then packed for you to drink. It is naturally enriched with minerals such as magnesium, sodium, calcium, etc. and has the perfect pH balance. Himalayanâs unique mineral composition gives it a characteristic taste and is packaged in a premium, instantly recognizable bottle. This makes it a great meal accompaniment and instantly elevates the dining experience. People who love the finer things in life do not just enjoy Himalayan with their meals at fine restaurants, but also make it their brand of choice at home. It is one of the most consumed natural mineral water in the finest homes across the country. Experience the taste of Raw, Rare, Remarkable with Himalayan.",-,"Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India.",India,-,-,-,-,-,https://datalabs.siva3.io/image/Eunimart_groceries_280459_4-himalayan-natural-mineral-water.jpg,200 ml Bottle,Himalayan,1,1,https://datalabs.siva3.io/image/Eunimart_groceries_280459-2_2-himalayan-natural-mineral-water.jpg,['280459'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"[{'EAN Code': '280459'}, {'Country Of Origin': 'India'}, {'Manufacturer Name & Address': 'Varun Beverages Limitied, Plot No. 31, Institutional Area, Sector - 44, Gurgaon - 122002, Haryana, India.'}]",-,https://datalabs.siva3.io/image/Eunimart_groceries_280459-3_2-himalayan-natural-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_280459-4_2-himalayan-natural-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_280459-5_2-himalayan-natural-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_280459-6_2-himalayan-natural-mineral-water.jpg,-,-,-,"Typical value per 100 ml
Calcium (mg) - 6.2
Bicarbonate (mg) - 26.3
Magnesium (mg) -1.5
Sodium (mg) - 2
Potassium (mg) - 0.2
Nitrates (mg) - 0.8",-,-,https://datalabs.siva3.io/image/Eunimart_groceries_280459-7_2-himalayan-natural-mineral-water.jpg,https://datalabs.siva3.io/image/Eunimart_groceries_280459-8_2-himalayan-natural-mineral-water.jpg,"Mineral water is known to improve the health of your bones; it is especially beneficial for menopausal women who suffer from gradual bone degeneration.
Rich in magnesium, Himalayan mineral water can relax muscles and reduce cramps.
At the same time, this will help you to restore your electrolyte balance if you are suffering from any deficiency.","Natural & Pure: Himalayan Natural Mineral Water is filtered through layers of Himalayan rock, gathering the richness of minerals and salts along the way
